framenumber,focal_fx,skew_s,principal_cx,principal_cy,rotation_r11,rotation_r12,rotation_r13,rotation_r21,rotation_r22,rotation_r23,rotation_r31,rotation_r32,rotation_r33,translation_t1,translation_t2,translation_t3
12,0.86713362,0.13966203,0.47802144,-0.5344432,-0.027430175,0.97178036,-0.23415954,-0.73488283,-0.49724969,0.18994541,0.84652102,0.39476991,0.0,0,0,1.0
13,0.96103716,-0.028199054,0.27488944,-0.67657954,-0.038732704,0.97119439,0.23504022,-0.48719531,-0.27360409,-0.23653382,0.93227863,-0.27764452,0.0,0,0,1.0
14,0.86918163,0.14036635,0.47407898,-0.52878398,-0.029989343,0.9720282,-0.23281343,-0.73635572,-0.49351186,0.18814982,0.84910536,0.39756313,0.0,0,0,1.0
15,0.87227416,0.13894576,0.46878764,-0.51721841,-0.031035863,0.97254556,-0.23050396,-0.73861039,-0.4879593,0.18652336,0.85266566,0.40463969,0.0,0,0,1.0
16,0.87396312,0.13838091,0.46579951,-0.51127595,-0.030219544,0.9721877,-0.23211606,-0.73873574,-0.48497936,0.18879466,0.85386509,0.40819296,0.0,0,0,1.0
17,0.87748355,0.13670832,0.45963392,-0.49955162,-0.027795695,0.97136271,-0.23584254,-0.74144942,-0.47872713,0.19418235,0.85618198,0.41476673,0.0,0,0,1.0
18,0.8792851,0.13885157,0.45553005,-0.4932752,-0.029084889,0.97039419,-0.23964378,-0.74114794,-0.47533286,0.19747654,0.85731894,0.41881335,0.0,0,0,1.0
19,0.88249451,0.14594106,0.44702804,-0.47601411,-0.032084476,0.96706653,-0.25237423,-0.7363975,-0.46915171,0.20838708,0.85814071,0.4277764,0.0,0,0,1.0
20,0.88384581,0.14872469,0.44342589,-0.4697158,-0.03341148,0.96572208,-0.25730139,-0.73925608,-0.46650741,0.21261033,0.85854614,0.43099156,0.0,0,0,1.0
21,0.88510692,0.15207089,0.43976,-0.46020737,-0.035703655,0.96447027,-0.26165232,-0.74073434,-0.46393934,0.21590054,0.85911644,0.43447423,0.0,0,0,1.0
22,0.88856912,0.1519682,0.43275702,-0.44160858,-0.032792166,0.96212256,-0.27052549,-0.73802453,-0.45749074,0.2262014,0.85992366,0.44347149,0.0,0,0,1.0
23,0.89013547,0.15536158,0.42830974,-0.43134207,-0.03630266,0.96123469,-0.27321932,-0.74763995,-0.45416817,0.22766542,0.86129731,0.44337797,0.0,0,0,1.0
24,0.96116841,-0.028699385,0.27437779,-0.67653435,-0.037842855,0.97143805,0.23417628,-0.48820391,-0.27326682,-0.23547029,0.93264657,-0.27695629,0.0,0,0,1.0
25,0.88933021,0.16074502,0.42799562,-0.42278078,-0.041299418,0.9605431,-0.27493611,-0.75097704,-0.4553172,0.22684512,0.86090696,0.4469752,0.0,0,0,1.0
26,0.89130956,0.15964642,0.42427272,-0.40080443,-0.04066081,0.96028942,-0.27591488,-0.75123334,-0.45148784,0.22868656,0.8624351,0.45228097,0.0,0,0,1.0
27,0.89275283,0.16113725,0.42065933,-0.39180103,-0.043410759,0.96023327,-0.275691,-0.75675267,-0.44836956,0.22787504,0.86427474,0.45413351,0.0,0,0,1.0
28,0.89326698,0.16518746,0.41798815,-0.38119537,-0.04777569,0.95961142,-0.27712995,-0.76348197,-0.44689912,0.22759362,0.86510998,0.45529836,0.0,0,0,1.0
29,0.89410013,0.16708426,0.41544476,-0.36181504,-0.050737314,0.95957643,-0.2767241,-0.76870382,-0.44490176,0.22635274,0.86646384,0.45929748,0.0,0,0,1.0
30,0.89446312,0.16864859,0.41402909,-0.35250717,-0.052186109,0.95914543,-0.27794588,-0.77071005,-0.44400379,0.227018,0.86675036,0.46137702,0.0,0,0,1.0
31,0.89459091,0.16973594,0.41330755,-0.34302792,-0.053042363,0.95880777,-0.27894628,-0.77123147,-0.4436442,0.22763237,0.86677307,0.46326497,0.0,0,0,1.0
32,0.89572448,0.16498692,0.41277486,-0.32459331,-0.049813021,0.95994961,-0.27559367,-0.77234703,-0.44172698,0.22630686,0.86809826,0.46587947,0.0,0,0,1.0
33,0.896837,0.16350947,0.41094285,-0.31553507,-0.049415722,0.96035099,-0.27426302,-0.77433127,-0.43950847,0.22567463,0.86938781,0.46743706,0.0,0,0,1.0
34,0.89611346,0.16492249,0.41195488,-0.31454641,-0.049857344,0.9598816,-0.27582142,-0.77241647,-0.44093168,0.22664081,0.868415,0.47231323,0.0,0,0,1.0
35,0.96094477,-0.029603364,0.27506405,-0.67522174,-0.036576562,0.97191727,0.23238155,-0.48878002,-0.27422389,-0.23337089,0.93289316,-0.27611396,0.0,0,0,1.0
36,0.89570028,0.1678898,0.41165459,-0.30659464,-0.052451901,0.95936477,-0.27713552,-0.76640558,-0.4414697,0.22665079,0.86813897,0.47609013,0.0,0,0,1.0
37,0.89611095,0.17241821,0.40887934,-0.29218397,-0.057710998,0.95885623,-0.27784851,-0.77358299,-0.4399772,0.2253987,0.86922175,0.47616747,0.0,0,0,1.0
38,0.89739621,0.17183962,0.40629572,-0.2860541,-0.058837812,0.95937914,-0.27579972,-0.77733666,-0.43719941,0.22360843,0.87108362,0.47544566,0.0,0,0,1.0
39,0.89727777,0.17244591,0.40630046,-0.28098223,-0.061332867,0.96027458,-0.27211517,-0.77768928,-0.4370997,0.21925552,0.87223941,0.47761953,0.0,0,0,1.0
40,0.89738429,0.17073831,0.40678576,-0.27482253,-0.060635775,0.96102852,-0.26959771,-0.78010714,-0.43697807,0.21727911,0.87279463,0.47912997,0.0,0,0,1.0
41,0.89774275,0.17092469,0.40591544,-0.26249015,-0.058561705,0.95973778,-0.27460709,-0.78098726,-0.4365243,0.22276783,0.87163711,0.48224518,0.0,0,0,1.0
42,0.89772326,0.17219226,0.40542224,-0.25655624,-0.059813134,0.95952415,-0.27508286,-0.78098142,-0.43639433,0.22271121,0.87171656,0.4845469,0.0,0,0,1.0
43,0.89753634,0.16952997,0.40695488,-0.25306857,-0.058551796,0.96073896,-0.27108511,-0.78279316,-0.43694919,0.21949323,0.87225443,0.48641551,0.0,0,0,1.0
44,0.89947706,0.16467834,0.40465543,-0.24092919,-0.056450628,0.96225363,-0.26611292,-0.78673619,-0.43321884,0.21653175,0.87485129,0.49175397,0.0,0,0,1.0
45,0.90016097,0.16165131,0.40435457,-0.2367893,-0.055309772,0.96344048,-0.26202628,-0.78701007,-0.43194318,0.21351333,0.87622267,0.49447474,0.0,0,0,1.0
46,0.96007651,-0.030071368,0.27802953,-0.6778475,-0.036027625,0.97259802,0.22960283,-0.48911309,-0.27732053,-0.2304571,0.93270218,-0.275049,0.0,0,0,1.0
47,0.90088362,0.1589544,0.40381339,-0.23123381,-0.054941244,0.96476442,-0.2571874,-0.78912884,-0.43048069,0.20952201,0.87790418,0.49768442,0.0,0,0,1.0
48,0.90061027,0.15607852,0.40554103,-0.22274901,-0.054392133,0.9663893,-0.25113201,-0.79073089,-0.43112168,0.20412579,0.87886024,0.50561982,0.0,0,0,1.0
49,0.90027928,0.15371829,0.40717396,-0.21722946,-0.052781142,0.96717751,-0.24842688,-0.79165471,-0.43201208,0.20217438,0.87887388,0.50987458,0.0,0,0,1.0
50,0.90008211,0.1528738,0.40792629,-0.2098294,-0.052181143,0.96746665,-0.24742424,-0.79015779,-0.43249485,0.201428,0.87880754,0.51516086,0.0,0,0,1.0
51,0.89805102,0.15400043,0.41195893,-0.19939084,-0.052922972,0.96769434,-0.24637331,-0.79648978,-0.43660718,0.19946553,0.87722015,0.52214855,0.0,0,0,1.0
52,0.89670569,0.15315484,0.41519183,-0.19452389,-0.050864935,0.96762562,-0.24707519,-0.80304611,-0.43960643,0.20044686,0.87549692,0.52550328,0.0,0,0,1.0
53,0.89624977,0.15423955,0.41577435,-0.18797235,-0.051105518,0.96721262,-0.24863739,-0.80623925,-0.44050735,0.20160472,0.87477785,0.52989662,0.0,0,0,1.0
54,0.89461875,0.15785623,0.41792339,-0.17477609,-0.05604982,0.96772981,-0.24553972,-0.80877864,-0.44321257,0.19625162,0.87462854,0.54286319,0.0,0,0,1.0
55,0.89438885,0.15755762,0.41852736,-0.16818245,-0.056389369,0.96811336,-0.24394457,-0.81130403,-0.44363305,0.19459249,0.87478602,0.54924327,0.0,0,0,1.0
56,0.89428872,0.15771765,0.41868094,-0.16133016,-0.057127487,0.96836829,-0.24275801,-0.81285572,-0.4437404,0.19318919,0.8750425,0.55664337,0.0,0,0,1.0
57,0.95993322,-0.030987836,0.27842304,-0.67608237,-0.034601476,0.97311991,0.22760223,-0.49145713,-0.27799705,-0.22812076,0.93307483,-0.27451897,0.0,0,0,1.0
58,0.89333242,0.1608084,0.41954541,-0.14657056,-0.06134836,0.96863908,-0.24063809,-0.81782568,-0.44510061,0.18924288,0.87521392,0.57137901,0.0,0,0,1.0
59,0.89312404,0.16217032,0.41946459,-0.13925578,-0.063373163,0.96876657,-0.23959792,-0.82150531,-0.44523489,0.1874193,0.87553781,0.57848531,0.0,0,0,1.0
60,0.8936221,0.16122466,0.41876748,-0.13254224,-0.063207708,0.96911669,-0.23822159,-0.8217963,-0.44425759,0.18642214,0.87624675,0.58673197,0.0,0,0,1.0
61,0.89455074,0.16062781,0.41700977,-0.11890003,-0.063729696,0.96945328,-0.23670779,-0.82971174,-0.44230917,0.1851826,0.87749416,0.60267627,0.0,0,0,1.0
62,0.89623487,0.1584696,0.41420949,-0.10872332,-0.062411282,0.96972293,-0.23595354,-0.83193403,-0.43907556,0.18562989,0.87902212,0.61026573,0.0,0,0,1.0
63,0.89669424,0.15932342,0.41288555,-0.10366208,-0.063600123,0.96962774,-0.2360273,-0.8378346,-0.43796563,0.18539618,0.87962484,0.61808538,0.0,0,0,1.0
64,0.89775586,0.15919922,0.41061953,-0.096029781,-0.064199388,0.96969491,-0.23558798,-0.840442,-0.43569681,0.18515044,0.88080245,0.62624258,0.0,0,0,1.0
65,0.89968884,0.16080578,0.40573373,-0.08380755,-0.066112354,0.96910405,-0.2374825,-0.84796619,-0.43140233,0.18684785,0.88255608,0.64104331,0.0,0,0,1.0
66,0.89976674,0.16251262,0.40487993,-0.077622935,-0.067489676,0.96867919,-0.23882465,-0.85509384,-0.43102628,0.18757279,0.882586,0.64745593,0.0,0,0,1.0
67,0.90045589,0.15950117,0.40454522,-0.070831604,-0.063250035,0.96841878,-0.24103072,-0.85710955,-0.43022931,0.19146173,0.88213962,0.65414655,0.0,0,0,1.0
68,0.95991653,-0.032860812,0.27826571,-0.67477536,-0.031439368,0.97417861,0.22349557,-0.49308324,-0.2784299,-0.22328942,0.93411386,-0.27392682,0.0,0,0,1.0
69,0.90199703,0.1571079,0.40204027,-0.064675614,-0.060600664,0.9682458,-0.24240184,-0.86020011,-0.42737246,0.19429366,0.88290882,0.65998983,0.0,0,0,1.0
70,0.90360886,0.1566328,0.39859101,-0.057883158,-0.060960446,0.96825194,-0.24228707,-0.86154097,-0.42390198,0.19464634,0.88450277,0.66682774,0.0,0,0,1.0
71,0.90553868,0.15688281,0.39408752,-0.046582844,-0.061316568,0.96771365,-0.24433899,-0.8686586,-0.41971171,0.1971063,0.88595498,0.67744577,0.0,0,0,1.0
72,0.90661073,0.1554302,0.39219329,-0.040616538,-0.060473159,0.96790433,-0.24379262,-0.87285876,-0.41751364,0.19731987,0.88694543,0.68178314,0.0,0,0,1.0
73,0.90701139,0.15367925,0.39195678,-0.035253316,-0.059697963,0.96850604,-0.24158385,-0.87629604,-0.41675428,0.19573224,0.88765401,0.68620926,0.0,0,0,1.0
74,0.90629017,0.15117732,0.39458907,-0.03143087,-0.058527589,0.96968907,-0.23708187,-0.87924093,-0.41848552,0.19178241,0.88770145,0.69026285,0.0,0,0,1.0
75,0.90651959,0.14575319,0.39609978,-0.02499211,-0.054098234,0.97083312,-0.2334232,-0.88131547,-0.41858447,0.19018616,0.88799804,0.69278663,0.0,0,0,1.0
76,0.90615547,0.14272051,0.39803234,-0.013260672,-0.051466003,0.97151285,-0.2311787,-0.88316309,-0.41970313,0.18901043,0.88772082,0.69892645,0.0,0,0,1.0
77,0.90665841,0.14343232,0.39662844,-0.008157883,-0.052053623,0.97123063,-0.23222995,-0.88697374,-0.41854271,0.18991904,0.88807464,0.70023108,0.0,0,0,1.0
78,0.90671945,0.14379725,0.3963564,-0.002248247,-0.053099979,0.97147417,-0.23097029,-0.88496798,-0.41827866,0.18839039,0.88852435,0.70290506,0.0,0,0,1.0
79,0.95960265,-0.033425599,0.27927893,-0.67436165,-0.029347517,0.97557771,0.21759939,-0.49383312,-0.27973685,-0.21700872,0.9352029,-0.27336571,0.0,0,0,1.0
80,0.90648216,0.14182365,0.39760804,0.00176338,-0.052499,0.97240561,-0.22715527,-0.89194638,-0.41886815,0.18504971,0.88894826,0.70346755,0.0,0,0,1.0
81,0.90756989,0.14010601,0.39573127,0.015513021,-0.051958624,0.97287256,-0.22527233,-0.89455545,-0.41657394,0.18390021,0.89026392,0.70564765,0.0,0,0,1.0
82,0.90785599,0.13965039,0.39523569,0.022388937,-0.052172385,0.97315395,-0.22400406,-0.89608634,-0.41592318,0.18275446,0.89080381,0.70566326,0.0,0,0,1.0
83,0.9081437,0.13714491,0.39545178,0.028730586,-0.050679125,0.97384077,-0.22134566,-0.89568198,-0.41547936,0.18098387,0.8913722,0.707398,0.0,0,0,1.0
84,0.90954405,0.13736509,0.39214304,0.038564742,-0.050576381,0.97332269,-0.22363593,-0.89662069,-0.41241732,0.18358503,0.8922618,0.70777208,0.0,0,0,1.0
85,0.91037256,0.14044397,0.38911822,0.045955893,-0.052377142,0.97213745,-0.22832717,-0.89770627,-0.41035935,0.18749356,0.89239782,0.70783454,0.0,0,0,1.0
86,0.9137668,0.14660722,0.37875044,0.067383699,-0.057515863,0.96985465,-0.23664586,-0.89389777,-0.40204257,0.19446702,0.89468813,0.70862132,0.0,0,0,1.0
87,0.91605884,0.15211485,0.3709617,0.077721089,-0.062546708,0.96809238,-0.24251243,-0.89376855,-0.39603052,0.19896549,0.89637876,0.70858979,0.0,0,0,1.0
88,0.91806751,0.15810774,0.36341271,0.087975129,-0.06949535,0.96696031,-0.24512219,-0.89258379,-0.39017692,0.1997956,0.89875793,0.70864725,0.0,0,0,1.0
89,0.92061245,0.16261792,0.35488424,0.098033547,-0.077760853,0.96724433,-0.24149185,-0.89536572,-0.38254598,0.19473648,0.9031381,0.70759714,0.0,0,0,1.0
90,0.95849192,-0.034584716,0.28292811,-0.6757977,-0.027507177,0.97673696,0.21258152,-0.49466181,-0.28370363,-0.21154368,0.93526006,-0.27098182,0.0,0,0,1.0
91,0.92205232,0.16931584,0.34794533,0.10848224,-0.087143451,0.96691895,-0.23958308,-0.89449394,-0.37701526,0.19059899,0.90634066,0.70853853,0.0,0,0,1.0
92,0.92454624,0.17956182,0.33598503,0.1321927,-0.0994201,0.9650836,-0.24218792,-0.89935201,-0.36775622,0.1905223,0.91015267,0.70632631,0.0,0,0,1.0
93,0.92597544,0.18206318,0.33066064,0.1431628,-0.10297995,0.96457851,-0.24271147,-0.89615726,-0.36315176,0.19070549,0.91196114,0.7065748,0.0,0,0,1.0
94,0.92736948,0.18371013,0.32580689,0.15275657,-0.10585009,0.96433216,-0.24245423,-0.89814883,-0.35874212,0.19037004,0.91377455,0.70512134,0.0,0,0,1.0
95,0.92874753,0.18447113,0.32142195,0.1636017,-0.10841132,0.96457869,-0.24033217,-0.89886856,-0.35438579,0.18837412,0.91588569,0.70428675,0.0,0,0,1.0
96,0.93194199,0.18558341,0.31137845,0.18455517,-0.11316682,0.96499598,-0.23643324,-0.90076458,-0.34437129,0.1851162,0.92035896,0.70202368,0.0,0,0,1.0
97,0.9323473,0.18963166,0.30770412,0.19366901,-0.11795653,0.96431488,-0.2368703,-0.89966381,-0.34165597,0.18456154,0.92148155,0.70120138,0.0,0,0,1.0
98,0.93332511,0.18885143,0.30520853,0.20139574,-0.11833615,0.96471339,-0.23504986,-0.90265512,-0.33884248,0.18327259,0.9227764,0.69947964,0.0,0,0,1.0
99,0.93469745,0.18672794,0.30230093,0.2098144,-0.11677419,0.96492594,-0.23495768,-0.90081626,-0.3355853,0.18432534,0.92375624,0.69953263,0.0,0,0,1.0
100,0.93483901,0.18632215,0.302113,0.21147965,-0.11614437,0.96483403,-0.23564528,-0.90263414,-0.33540902,0.18521369,0.92364228,0.7002483,0.0,0,0,1.0
101,0.9578082,-0.036735944,0.28496483,-0.67618769,-0.024201913,0.97793454,0.20741448,-0.49290028,-0.28630182,-0.20556328,0.9358018,-0.26992524,0.0,0,0,1.0
102,0.93744922,0.17515475,0.30070233,0.22585148,-0.10571341,0.96656781,-0.23344007,-0.90294772,-0.33155137,0.18706205,0.92466199,0.70046008,0.0,0,0,1.0
103,0.94041187,0.16918345,0.29481223,0.23407485,-0.10116307,0.96730447,-0.23240235,-0.90616941,-0.32450566,0.188742,0.92681742,0.70032042,0.0,0,0,1.0
104,0.94217986,0.17031933,0.28844374,0.24198702,-0.102667,0.96644437,-0.2353023,-0.90612209,-0.31885508,0.19209579,0.92808849,0.70208722,0.0,0,0,1.0
105,0.94240546,0.17511283,0.28481337,0.2496351,-0.10677704,0.96486372,-0.23991418,-0.90559977,-0.3168318,0.1956974,0.92802882,0.70369488,0.0,0,0,1.0
106,0.94344014,0.17310119,0.28260794,0.25622943,-0.10487005,0.9648332,-0.24087507,-0.90594113,-0.31437898,0.19762674,0.9284538,0.70572013,0.0,0,0,1.0
107,0.94542158,0.16977753,0.27796403,0.26287651,-0.10247611,0.96508151,-0.24090953,-0.90636516,-0.30917248,0.19928913,0.92984557,0.70859551,0.0,0,0,1.0
108,0.94643503,0.16920735,0.27484471,0.26870024,-0.10256135,0.96506041,-0.24095728,-0.90848857,-0.30602694,0.19987476,0.93075997,0.71151578,0.0,0,0,1.0
109,0.94872445,0.16249628,0.2709738,0.28367278,-0.097783014,0.96648252,-0.23721449,-0.91017371,-0.30045116,0.19856724,0.93285388,0.72016603,0.0,0,0,1.0
110,0.95001292,0.15946932,0.26824403,0.29091561,-0.095420197,0.96681547,-0.23681892,-0.91005021,-0.29712099,0.19939789,0.9337427,0.72540778,0.0,0,0,1.0
111,0.95024335,0.15869237,0.26788795,0.29636356,-0.095267273,0.96726108,-0.23505411,-0.91266429,-0.29643196,0.19785035,0.93429065,0.73037797,0.0,0,0,1.0
112,0.9620924,-0.030051384,0.27097553,-0.67627126,-0.036688913,0.97057742,0.23789977,-0.48604107,-0.27015701,-0.23882766,0.93269938,-0.28201592,0.0,0,0,1.0
113,0.95602852,-0.039474443,0.29052088,-0.68921328,-0.021552078,0.9787339,0.20390642,-0.49526066,-0.29239708,-0.20120484,0.93486387,-0.26548025,0.0,0,0,1.0
114,0.94991368,0.15945077,0.26860487,0.30327728,-0.096567564,0.96765113,-0.23290774,-0.91535676,-0.29706642,0.19531639,0.93462229,0.73581064,0.0,0,0,1.0
115,0.94932514,0.15984844,0.27044213,0.30990374,-0.097360268,0.96815425,-0.23047327,-0.91560453,-0.29868397,0.19247629,0.9346959,0.74310476,0.0,0,0,1.0
116,0.94887334,0.16071908,0.2715081,0.31710172,-0.097872667,0.96798944,-0.23094679,-0.91981041,-0.29994825,0.1925786,0.93426943,0.74894142,0.0,0,0,1.0
117,0.94809014,0.16204934,0.2734462,0.3251864,-0.097550698,0.96707636,-0.23487449,-0.91993248,-0.30251843,0.19602007,0.9327237,0.7563771,0.0,0,0,1.0
118,0.94561529,0.16386028,0.28083581,0.3384845,-0.097114913,0.96660572,-0.23698249,-0.92453432,-0.31030363,0.19683379,0.92999059,0.77009815,0.0,0,0,1.0
119,0.94401717,0.16524406,0.28536496,0.34564435,-0.097102731,0.96628153,-0.23830481,-0.92349136,-0.31513566,0.19726703,0.92827231,0.77863103,0.0,0,0,1.0
120,0.94314873,0.16307068,0.28945667,0.35266015,-0.094485573,0.96689898,-0.23684764,-0.92601192,-0.31851271,0.19604599,0.92737788,0.78651297,0.0,0,0,1.0
121,0.94357061,0.15851466,0.2906093,0.36228848,-0.09059646,0.96800196,-0.23384188,-0.92821419,-0.31839231,0.19433101,0.92777997,0.79438543,0.0,0,0,1.0
122,0.94316339,0.15930641,0.2914961,0.3709875,-0.090711311,0.96763432,-0.23531362,-0.93041724,-0.31956333,0.19551015,0.92712933,0.80160546,0.0,0,0,1.0
123,0.94035584,0.16084294,0.29960945,0.38495183,-0.089561522,0.96706939,-0.23805939,-0.93443888,-0.32804847,0.19704011,0.92383611,0.81619632,0.0,0,0,1.0
124,0.95550334,-0.040315356,0.2921288,-0.68914187,-0.019181216,0.97999859,0.19798256,-0.49590042,-0.29427293,-0.19477935,0.93563592,-0.26366389,0.0,0,0,1.0
125,0.93908995,0.1576144,0.30524257,0.39076719,-0.085110851,0.96754754,-0.23774855,-0.93616056,-0.33282465,0.19730087,0.92207026,0.823017,0.0,0,0,1.0
126,0.93906081,0.15303527,0.30765244,0.39787173,-0.079783089,0.96795046,-0.23795587,-0.93821293,-0.33422339,0.19892268,0.92121542,0.83067811,0.0,0,0,1.0
127,0.93932933,0.14922048,0.30870429,0.40528941,-0.075570785,0.96825784,-0.23808016,-0.93936515,-0.33444726,0.20031983,0.9208312,0.83740062,0.0,0,0,1.0
128,0.9386692,0.14585979,0.31229672,0.41059932,-0.072216615,0.96912742,-0.23556945,-0.94291514,-0.33703104,0.1985819,0.9202652,0.84358323,0.0,0,0,1.0
129,0.93827343,0.14223821,0.31514329,0.41732574,-0.068437986,0.96979439,-0.23394659,-0.94584751,-0.33891594,0.19795118,0.91970831,0.8494218,0.0,0,0,1.0
130,0.93771887,0.14261173,0.31662166,0.42422819,-0.067175604,0.96901673,-0.23750661,-0.9458499,-0.34069869,0.20145847,0.91828686,0.85514021,0.0,0,0,1.0
131,0.93823481,0.13793004,0.31716639,0.43436566,-0.060201511,0.96812981,-0.24293092,-0.94875485,-0.34058163,0.20884602,0.91667849,0.86583757,0.0,0,0,1.0
132,0.93755645,0.13820909,0.31904522,0.4359591,-0.060244124,0.96825868,-0.24240565,-0.95086497,-0.34243703,0.20806202,0.91616529,0.87151331,0.0,0,0,1.0
133,0.93785888,0.13553987,0.31930059,0.44103813,-0.057700794,0.96859622,-0.24167426,-0.95056015,-0.34204602,0.20824613,0.91626942,0.87685496,0.0,0,0,1.0
134,0.93782949,0.13500004,0.31961527,0.4442499,-0.056643717,0.96837366,-0.24281335,-0.95321864,-0.34230301,0.20962706,0.91585827,0.88144761,0.0,0,0,1.0
135,0.95448369,-0.040376175,0.2954351,-0.69125473,-0.018417522,0.98089671,0.19355784,-0.49565756,-0.29761189,-0.19019181,0.93552351,-0.26111427,0.0,0,0,1.0
136,0.9380886,0.13278159,0.3197839,0.44525182,-0.05480551,0.96880913,-0.24149477,-0.95629412,-0.34189177,0.20903125,0.91614795,0.88572967,0.0,0,0,1.0
137,0.93927932,0.13362585,0.31591311,0.45353255,-0.055324093,0.96791983,-0.2449182,-0.96008992,-0.33852196,0.21258289,0.91658181,0.89254606,0.0,0,0,1.0
138,0.93975371,0.13656805,0.31323242,0.45633069,-0.057499908,0.96675426,-0.24898598,-0.95916742,-0.33683839,0.21598876,0.91640574,0.89583009,0.0,0,0,1.0
139,0.93940276,0.13973075,0.31288949,0.45650458,-0.061333783,0.9668656,-0.24763429,-0.96153051,-0.33714032,0.2134517,0.91688889,0.89867985,0.0,0,0,1.0
140,0.939044,0.14106192,0.31336808,0.45774829,-0.063201159,0.96716881,-0.24597412,-0.96463293,-0.33779359,0.2111893,0.91717207,0.90079933,0.0,0,0,1.0
141,0.9396596,0.13893215,0.31247294,0.45966622,-0.061974529,0.96776885,-0.24391772,-0.96327502,-0.33630574,0.20984818,0.91802621,0.90440452,0.0,0,0,1.0
142,0.94027865,0.14150146,0.30944285,0.46277931,-0.065739684,0.96780336,-0.2427925,-0.96648902,-0.33385131,0.20796375,0.91934991,0.90597153,0.0,0,0,1.0
143,0.93762726,0.15138647,0.31279135,0.46577638,-0.073345557,0.9660188,-0.24767196,-0.97065783,-0.33967268,0.20929605,0.91691178,0.90846276,0.0,0,0,1.0
144,0.93732083,0.14989763,0.31442177,0.46755034,-0.071226142,0.96603853,-0.24821256,-0.9713794,-0.34096625,0.21027379,0.91620749,0.90894514,0.0,0,0,1.0
145,0.93708044,0.15084444,0.31468508,0.47093764,-0.071038641,0.96528882,-0.25116462,-0.97129941,-0.34166509,0.21302091,0.91531199,0.90961766,0.0,0,0,1.0
146,0.95321274,-0.040741384,0.2994608,-0.69207621,-0.017937241,0.98148006,0.19062451,-0.49762681,-0.30168664,-0.18707995,0.93484563,-0.25909919,0.0,0,0,1.0
147,0.93587351,0.15488593,0.31630898,0.47319573,-0.073142923,0.963965,-0.25560516,-0.97169614,-0.34451687,0.21609282,0.91352105,0.90995854,0.0,0,0,1.0
148,0.93535042,0.15533109,0.31763497,0.47594228,-0.07208208,0.96320254,-0.25876051,-0.97086287,-0.3461569,0.21915068,0.91217148,0.91028374,0.0,0,0,1.0
149,0.93628973,0.15144144,0.31674424,0.47896895,-0.068398744,0.96354192,-0.25849649,-0.97098649,-0.34435996,0.22037749,0.91255605,0.91115302,0.0,0,0,1.0
150,0.94041759,0.147746,0.30608115,0.4870314,-0.064433239,0.96170396,-0.26624289,-0.97322935,-0.33371195,0.23067309,0.91396648,0.91228187,0.0,0,0,1.0
